Id_Instal,Codi_Carrer,Tipus_Via,Nom_Carrer,Num_Carrer,Codi_Barri,Nom_Barri,Codi_Districte,Nom_Districte,Latitud,Longitud,ETRS89_X,ETRS89_Y,Data_Instalacio,Data_DesInstalacio,Font
648,32700,C,Balmes,232,26,Galvany,05,Sarrià-Sant Gervasi,41.398930,2.150900,429021.324,4583391.477,28/07/2015,18/10/2016,TRÀNSIT
650,144601,Av,Diagonal,454,31,la Vila de Gràcia,06,Gràcia,41.396206,2.157873,429601.311,4583083.391,21/04/2015,06/02/2017,TRÀNSIT
651,110304,C,Enric Granados,159,08,l'Antiga Esquerra de l'Eixample,02,L'Eixample,41.394676,2.153191,429208.267,4582917.345,21/04/2015,,TRÀNSIT
652,144601,Av,Diagonal,570,26,Galvany,05,Sarrià-Sant Gervasi,41.393994,2.149141,428868.933,4582844.932,21/04/2015,06/02/2017,TRÀNSIT
653,144601,Av,Diagonal,600,26,Galvany,05,Sarrià-Sant Gervasi,41.393036,2.145348,428550.794,4582741.628,21/04/2015,20/03/2018,TRÀNSIT
654,305100,Pg,Sant Joan,39,07,la Dreta de l'Eixample,02,L'Eixample,41.395867,2.174102,430957.671,4583032.698,21/04/2015,17/06/2016,TRÀNSIT
655,305100,Pg,Sant Joan,60,07,la Dreta de l'Eixample,02,L'Eixample,41.396355,2.173764,430929.894,4583087.076,21/04/2015,29/06/2016,TRÀNSIT
656,305100,Pg,Sant Joan,82,07,la Dreta de l'Eixample,02,L'Eixample,41.397398,2.172381,430815.407,4583204.012,21/04/2015,29/06/2016,TRÀNSIT
657,305100,Pg,Sant Joan,97,07,la Dreta de l'Eixample,02,L'Eixample,41.398882,2.170110,430627.176,4583370.537,21/04/2015,16/06/2016,TRÀNSIT
658,236700,C,Or,10,31,la Vila de Gràcia,06,Gràcia,41.403978,2.156015,429454.426,4583947.753,30/10/2015,16/12/2016,OCI
659,159507,Pl,Eivissa,21,43,Horta,07,Horta-Guinardó,41.430430,2.160996,429899.213,4586880.301,30/10/2015,,OCI
666,322608,C,Selva de Mar,170,72,Sant Martí de Provençals,10,Sant Martí,41.414817,2.201259,433247.275,4585115.217,09/11/2015,,TRÀNSIT
667,322608,C,Selva de Mar,208,72,Sant Martí de Provençals,10,Sant Martí,41.416959,2.198612,433028.275,4585355.037,09/11/2015,13/12/2021,TRÀNSIT
669,335100,Pl,Tetuan,4,07,la Dreta de l'Eixample,02,L'Eixample,41.394316,2.175891,431105.539,4582859.073,16/11/2015,17/06/2016,TRÀNSIT
670,305100,Pg,Sant Joan,15,07,la Dreta de l'Eixample,02,L'Eixample,41.392678,2.178319,431306.843,4582675.321,16/11/2015,17/06/2016,TRÀNSIT
671,305100,Pg,Sant Joan,34,05,el Fort Pienc,02,L'Eixample,41.393295,2.177816,431265.454,4582744.133,16/11/2015,17/06/2016,TRÀNSIT
686,209900,Av,Meridiana,181,64,el Camp de l'Arpa del Clot,10,Sant Martí,41.413401,2.186218,431988.827,4584969.637,28/12/2015,12/04/2022,TRÀNSIT
707,197302,C,Marina,155,05,el Fort Pienc,02,L'Eixample,41.398089,2.181526,431580.607,4583273.454,26/01/2016,08/11/2016,OCI
726,76308,Pl,Centre,11,19,les Corts,04,Les Corts,41.382040,2.135920,427750.458,4581528.776,28/01/2016,,TRÀNSIT
727,143904,Rda,General Mitre,149,25,la Bonanova,05,Sarrià-Sant Gervasi,41.403409,2.138553,427994.195,4583898.894,28/01/2016,21/03/2022,TRÀNSIT
728,143904,Rda,General Mitre,137,25,la Bonanova,05,Sarrià-Sant Gervasi,41.402451,2.137393,427896.148,4583793.539,28/01/2016,,TRÀNSIT
