,id_instal,codi_carrer,tipus_via,nom_carrer,num_carrer,codi_barri,nom_barri,codi_districte,nom_districte,latitud,longitud,etrs89_x,etrs89_y,data_instalacio,data_desinstalacio,font,geometry,index_right,tram,descripció,coordenades
686,8826,336806,Rier,Can Toda,35,30,la Salut,6,Gràcia,41.414354,2.156737,429526.0,4585099.0,12/01/2024,16/02/2024,PATIS D'ESCOLA,POINT (2.156737 41.414354),501,458,Ctra. del Carmel - Ramiro de Maeztu (Gran Vista a Pl. Sanllehy),"2.157197543794595,41.41863580648911,2.157428425141063,41.41805876907107,2.158670630404913,41.41692944549884,2.159077353987229,41.41671512287291,2.159121325225186,41.41660795954397,2.158978425640044,41.41654201098092,2.158802545600224,41.41664917262479,2.158703610754557,41.4167975519986,2.158626661819994,41.41687998464405,2.157417445867324,41.41778673576771,2.157098653049133,41.41784443256083,2.156351162280032,41.41750643101474,2.156296210772467,41.41730858645499,2.156494110145687,41.4168057429503,2.156153369019037,41.41622868858177,2.156098409768177,41.4161544950768,2.15599948212477,41.41603908216735,2.155230008876742,41.41574227906809,2.155087115222798,41.41553618234752,2.155087128865773,41.4153053619648,2.155427915309176,41.41507456017991,2.155823648990207,41.41508282447045,2.156714017412639,41.41566815383003,2.157153704871689,41.41594844671896,2.157472483224112,41.41601440369595,2.157780273173302,41.41593197756322,2.158033107187862,41.41556927249139,2.158461816829373,41.41500872608089,2.158857539279936,41.41468723660199,2.159923773450018,41.413970057391,2.160308493134579,41.41384640375055,2.160528332831262,41.4138464034322,2.160869085337879,41.4139865435321"
687,8846,336806,Rier,Can Toda,33,30,la Salut,6,Gràcia,41.41422,2.156943,429543.0,4585084.0,12/01/2024,16/02/2024,PATIS D'ESCOLA,POINT (2.156943 41.41422),501,458,Ctra. del Carmel - Ramiro de Maeztu (Gran Vista a Pl. Sanllehy),"2.157197543794595,41.41863580648911,2.157428425141063,41.41805876907107,2.158670630404913,41.41692944549884,2.159077353987229,41.41671512287291,2.159121325225186,41.41660795954397,2.158978425640044,41.41654201098092,2.158802545600224,41.41664917262479,2.158703610754557,41.4167975519986,2.158626661819994,41.41687998464405,2.157417445867324,41.41778673576771,2.157098653049133,41.41784443256083,2.156351162280032,41.41750643101474,2.156296210772467,41.41730858645499,2.156494110145687,41.4168057429503,2.156153369019037,41.41622868858177,2.156098409768177,41.4161544950768,2.15599948212477,41.41603908216735,2.155230008876742,41.41574227906809,2.155087115222798,41.41553618234752,2.155087128865773,41.4153053619648,2.155427915309176,41.41507456017991,2.155823648990207,41.41508282447045,2.156714017412639,41.41566815383003,2.157153704871689,41.41594844671896,2.157472483224112,41.41601440369595,2.157780273173302,41.41593197756322,2.158033107187862,41.41556927249139,2.158461816829373,41.41500872608089,2.158857539279936,41.41468723660199,2.159923773450018,41.413970057391,2.160308493134579,41.41384640375055,2.160528332831262,41.4138464034322,2.160869085337879,41.4139865435321"
688,8866,158901,Pl,Osca,10,18,Sants,3,Sants-Montjuïc,41.376153,2.138468,427957.0,4580873.0,12/01/2024,14/03/2024,OCI,POINT (2.138468 41.376153),133,134,Carrer de Sants (Premià a Carles III),"2.13056495482207,41.37551932892383,2.139029826571497,41.37532269074156"
689,8886,68900,C,Cartagena,375,33,el Baix Guinardó,7,Horta-Guinardó,41.413627,2.171014,430718.34,4585006.875,15/01/2024,05/03/2024,TRÀNSIT,POINT (2.171014 41.413627),236,237,Ronda Guinardó (Túnel de la Rovira a Oblit),"2.168195191539046,41.41251580788141,2.170652377656144,41.41369231476939,2.170962804237964,41.41376601472668,2.174227040403491,41.4162291587102,2.174305337130114,41.41644261022495,2.174682390860852,41.41675625829561,2.175529558025051,41.41739845652462,2.175895440630165,41.41773033855935,2.176146994719184,41.41814962599186"
690,8906,701367,Rbla,Raval,15,1,el Raval,1,Ciutat Vella,41.379147,2.169179,430528.292,4581180.335,18/01/2024,,OCI,POINT (2.169179 41.379147),170,171,Ronda de Sant Pau (Paral.lel a Ronda de Sant Antoni),"2.167867853798173,41.37498440501707,2.167798332898476,41.37510291800829,2.163183678997813,41.37864493555137"
691,8907,34308,C,Rambla,113,1,el Raval,1,Ciutat Vella,41.384115,2.170879,430675.737,4581730.56,18/01/2024,,OCI,POINT (2.170879 41.384115),177,178,Fontanella (Pl. Catalunya a Pl. Urquinaona),"2.172796098185654,41.38847781237315,2.171738382018862,41.38727059777287,2.171374535864876,41.38694748180033"
692,8908,34308,C,Rambla,100,2,el Barri Gòtic,1,Ciutat Vella,41.382284,2.172392,430800.314,4581526.105,18/01/2024,,OCI,POINT (2.172392 41.382284),177,178,Fontanella (Pl. Catalunya a Pl. Urquinaona),"2.172796098185654,41.38847781237315,2.171738382018862,41.38727059777287,2.171374535864876,41.38694748180033"
693,8909,34308,C,Rambla,61,1,el Raval,1,Ciutat Vella,41.380616,2.173649,430903.623,4581339.918,18/01/2024,,OCI,POINT (2.173649 41.380616),183,184,Via Laietana (Pl. Uruiqnaona a Jaume I),"2.172764148073199,41.38847907390234,2.178713576908242,41.38395432230343"
694,8910,34308,C,Rambla,11,1,el Raval,1,Ciutat Vella,41.377627,2.17579,431079.542,4581006.346,18/01/2024,,OCI,POINT (2.17579 41.377627),291,292,Passeig de Colom (Pl. Antonio López a Pl. Portal de la Pau),"2.182102513985287,41.38137656982789,2.177895016062157,41.37616695259703"
695,8911,122904,C,Ferran,7,2,el Barri Gòtic,1,Ciutat Vella,41.380663,2.174526,430976.985,4581344.364,18/01/2024,,OCI,POINT (2.174526 41.380663),183,184,Via Laietana (Pl. Uruiqnaona a Jaume I),"2.172764148073199,41.38847907390234,2.178713576908242,41.38395432230343"
